Source.IP,Source.Port,Destination.IP,Destination.Port,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_Sec,Flow_Packets_Sec,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_Sec,Bwd_Packets_Sec,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,SYN_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
192.168.180.51,57744,10.200.7.4,3128,0,0,0,0,0,0,0,0,0,0,,12945.66667,12878.97858,27799,4885,,16342,16202.64478,27799,,0,,0,0,0,60,32,77.24592528,25.74864176,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,271,0,0,0,0,0,0,0,0,0,0,DoS Hulk
192.168.72.43,55973,10.200.7.7,3128,156,46,46,46,0,78,78,78,0,44806,147405,62,24.24871131,90,48,48,48,0,48,48,48,48,0,48,48,40,40,10752.68817,10752.68817,46,78,58.8,17.52712184,307.2,0,1,73.5,46,78,2,92,2,156,-1,,1,20,0,0,0,0,0,0,0,0,BENIGN
10.200.7.5,3128,172.17.1.110,49450,248,30,30,30,0,124,124,124,0,6301,104149,10265,17773.43937,30788,3,4,4,0,4,4,3,3,0,3,3,40,40,64.94560805,64.94560805,30,124,67.6,51.48592041,2650.8,0,1,84.5,30,124,2,60,2,248,-1,,1,20,0,0,0,0,0,0,0,0,BENIGN
10.200.7.5,3128,172.17.1.110,49450,218,65,65,65,0,218,218,218,0,124153,,116096,0,116096,116096,0,0,0,0,0,0,0,0,0,0,32,20,8.613561191,8.613561191,65,218,116,,7803,0,1,174,65,218,1,65,1,218,-1,,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.180.37,1980,10.200.7.9,3128,0,287,0,47.83333333,,0,0,0,0,7.379106643,,6482266.167,15800000,38700000,5,,33037.6,60152.40082,140390,5,0,0,0,0,0,200,20,0.154267038,0.025711173,0,287,35.875,101.4698231,10296.125,0,0,41,,0,6,287,1,0,-1,0,1,0,0,0,0,0,38700000,0,38700000,38700000,DoS Hulk
10.200.7.9,3128,192.168.180.37,1980,0,358,0,51.14285714,,0,0,0,0,910.3484753,20.34298269,56179.42857,,231751,1,387745,,102078.3881,231751,1,0,,0,0,,212,40,17.80010985,2.542872836,0,358,39.77777778,119.3333333,,1,0,44.75,,0,7,358,1,0,-1,,1,0,0,0,0,0,0,0,0,0,DoS Hulk
10.200.7.199,46617,207.244.80.182,443,0,321,0,64.2,143.5555642,0,0,0,0,256.6285721,4.79679574,250167,436822.3774,1015467,10,235368,58842,101898.716,210854,10,0,0,0,0,0,168,40,3.997329784,0.799465957,0,321,45.85714286,121.3265958,14720.14286,1,0,53.5,,0,5,321,1,0,-1,29200,1,0,0,0,0,0,0,0,0,0,DoS Hulk
10.200.7.9,3128,192.168.180.37,1980,0,188,0,,75.61764197,0,0,0,0,6.504674093,,6986429.111,9575191.596,21797442,635,62876487,7859560.875,9845843.932,21797442,635,0,0,,0,0,288,40,0.143134638,0.015903849,0,188,37.18181818,,4912.363636,1,0,40.9,45.44444444,0,9,409,1,0,-1,29200,6,0,,1005846.668,2826307,1403825,19549243.33,2954544.842,21797442,16202862,DoS slowloris
192.168.72.43,56001,10.200.7.7,3128,186,58,58,58,0,186,186,186,0,187872,172190,61002,0,61002,61002,0,0,0,0,0,0,0,0,0,,32,32,16.39290515,16.39290515,58,186,100.6666667,73.90083446,5461.333333,0,1,151,58,186,1,58,1,186,-1,-1,0,32,0,0,,0,0,0,0,0,BENIGN
10.200.7.196,38890,151.101.64.84,443,0,0,0,,0,0,0,0,0,2,242273,16,18.38477631,29,3,3,3,0,3,3,0,0,0,0,0,64,32,62500,31250,0,0,0,0,0,0,0,0,0,0,2,0,1,0,362,32832,0,32,0,0,0,0,0,0,0,0,BENIGN
10.200.7.196,38890,151.101.64.84,443,4797,201,0,43.625,74.90934998,2636,0,799.5,1049.972142,21527,163082,353845.4615,1234373.852,4461767,41,4599991,657141.5714,1677895.275,4461767,192,65615,13123,15764.66243,35705,49,172,132,1.739133837,1.304350378,0,2636,343.0666667,738.5551983,545463.781,0,0,367.5714286,43.625,799.5,8,349,6,4797,8192,946,7,20,0,0,0,0,0,0,0,0,BENIGN
192.168.51.50,62803,10.200.7.6,3128,0,0,0,0,0,0,0,0,0,2,149558,89,,89,89,0,0,0,0,0,0,0,,0,0,32,32,11235.95506,11235.95506,0,0,0,0,0,0,1,0,0,0,1,0,1,0,63,33304,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.51.50,62803,10.200.7.6,3128,0,168,0,20.9,52.15031693,0,0,0,0,3.474787557,0.182883556,6014756.2,10481851.52,29049165,4,59149037,6572115.222,10959382.3,29049165,4,0,0,0,0,0,352,40,0.166257778,0.016625778,0,168,17.41666667,47.8681111,2291.356061,1,0,19,20.9,0,10,209,1,0,-1,29200,4,0,1198970.5,1146349.493,2009562,388379,19249873.67,10880734.58,29049165,7540617,DoS slowloris
172.19.1.58,50386,10.200.7.8,3128,0,0,0,0,0,0,0,0,0,0,515.4639175,2910,4113.947253,5819,1,1,1,0,1,1,0,0,0,0,0,40,20,343.6426117,171.8213058,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,DoS Hulk
10.200.7.8,3128,172.19.1.58,50386,0,31,6,,14.43375673,0,0,0,0,63354,92275,141,130.1076477,233,49,282,141,130.1076477,233,49,0,0,0,,0,60,0,10638.29787,0,6,31,12.25,12.5,156.25,0,0,16.33333333,14.33333333,0,3,43,0,0,16,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
192.168.72.43,55996,10.200.7.7,3128,0,389,0,77.8,173.9660886,0,0,0,0,9.683939371,0.149366674,8033920.6,17800000,39900000,3,,10000000,19900000,39900000,2038,0,,0,0,0,,20,0.124472228,0.024894446,0,389,55.57142857,147.02818,21617.28571,0,0,64.83333333,77.8,0,5,389,1,0,-1,0,1,0,3,0,3,3,39900000,0,39900000,39900000,DoS Hulk
10.200.7.217,54171,190.60.67.98,80,0,0,0,0,0,0,0,0,0,2,225775,204,284.256926,405,3,3,3,0,3,3,0,0,0,0,0,64,32,4901.960784,2450.980392,0,0,0,0,0,0,0,0,0,0,2,0,1,0,351,32832,0,32,0,0,0,0,0,0,0,0,BENIGN
10.200.7.217,54171,190.60.67.98,80,0,344,0,86,172,0,0,0,0,48.21748102,0.70083548,1783585.5,3400033.384,6881212,8209,7121997,2373999,3904972.715,6881212,8209,0,0,0,0,0,152,40,0.560668384,0.140167096,0,344,57.33333333,140.4374119,19722.66667,1,0,68.8,86,0,4,344,1,0,-1,29200,1,0,0,0,0,0,0,0,0,0,DoS Hulk
10.200.7.5,3128,172.17.1.110,49451,170,46,46,46,0,85,85,85,0,228492,229221,16872.33333,29218.54244,50611,2,2,2,0,2,2,4,4,0,4,4,64,88,39.51241678,39.51241678,46,85,61.6,,456.3,0,1,77,46,85,2,92,2,170,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.200.7.5,3128,172.17.1.110,49451,6,31,6,14.33333333,14.43375673,6,6,6,0,110560,121900,76,80.4673847,161,1,228,114,159.8061325,227,1,0,0,0,0,0,60,20,13157.89474,4385.964912,6,31,11,11.18033989,125,0,0,13.75,14.33333333,6,3,43,1,6,980,0,2,20,0,0,0,0,0,0,0,0,BENIGN
10.200.7.5,3128,172.17.1.110,49451,1774,432,0,25.41176471,104.77539,1448,0,118.2666667,377.3190137,88828,23423,3734257.097,4890371.284,10201115,50,115761970,7235123.125,4621716.444,10240036,167,112474198,8033871.286,4335165.314,10240104,168,552,488,0.146853064,0.129576233,0,1448,66.84848485,264.701261,70066.75758,0,0,68.9375,25.41176471,118.2666667,17,432,15,1774,29200,939,1,32,48570.36364,31908.9572,144779,38759,10176349.55,61925.58051,10201115,10001288,BENIGN
10.200.7.217,54170,190.60.67.98,80,0,168,0,23.2,51.34372189,0,0,0,0,2.860334808,0.135619323,8110938.6,15542933.83,40012322,6,81108714,9012079.333,16206326.75,40012322,6,0,0,0,0,0,344,40,0.123290293,0.012329029,0,168,19.33333333,47.31198836,2238.424242,1,0,21.09090909,23.2,0,10,232,1,0,-1,29200,6,0,3093651,4372563.073,6185520,1782,37365007.5,3743868.07,40012322,34717693,DoS slowloris
10.200.7.217,54170,190.60.67.98,80,0,366,0,61.1875,132.1560788,0,0,0,0,8.23340227,0.142970213,7431617.938,24500000,97500000,3,119000000,7926346.667,25300000,97500000,3,0,0,0,0,0,516,40,0.134560201,0.008410013,0,366,54.38888889,125.7060712,15802.01634,1,0,57.58823529,61.1875,0,16,979,1,0,-1,29200,3,0,686059,737967.7495,1207881,164237,58600000,54900000,97500000,19800000,DoS Hulk
192.168.72.43,56005,10.200.7.7,3128,6580,183,0,30.90909091,63.10064111,1448,0,822.5,685.6579739,23856,163738,336942.5,1375999.411,5849782,10,6064965,606496.5,1842480.355,5849782,19,164662,23523.14286,42288.51077,108308,48,360,264,1.813695545,1.319051305,0,1448,346,578.5164329,334681.2632,0,0,364.2105263,30.90909091,822.5,11,340,8,6580,29200,119,3,32,215164,0,215164,215164,5849782,0,5849782,5849782,BENIGN
10.200.7.217,54173,190.60.67.98,80,0,363,0,56,131.2935642,0,0,0,0,6.721985406,0.130038408,8330872,28600000,99100000,4,100000000,9087055.091,29900000,99100000,4,0,0,0,0,0,440,40,0.120035454,0.010002954,0,363,48,122.4726029,14999.53846,1,0,51.69230769,56,0,12,672,1,0,-1,29200,2,0,212547,0,212547,212547,99100000,0,99100000,99100000,DoS Hulk
10.200.7.217,54173,190.60.67.98,80,410,34,34,34,0,205,205,205,0,260151,203686,24985,43271.82534,74951,1,3,3,0,3,3,1,1,0,1,1,64,64,26.68267627,26.68267627,34,205,102.4,93.66055733,8772.3,0,1,128,34,205,2,68,2,410,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.47,51849,10.200.7.6,3128,0,168,0,30,61.32699243,0,0,0,0,3.888526536,0.148134344,7715004.571,11639706.64,30952442,3,54003452,9000575.333,12194126.06,30952442,3,0,0,0,0,0,224,40,0.129617551,0.018516793,0,168,23.33333333,54.73344499,2995.75,1,0,26.25,30,0,7,210,1,0,-1,29200,4,0,21609.5,26234.36869,40160,3059,17987271,11378012.16,30952442,9664192,DoS slowloris
10.200.7.217,54175,190.60.67.98,80,0,363,0,45.375,128.3398808,0,0,0,0,1563.832812,38.77271435,29015.25,69568.00023,200989,2,221907,31701,74692.70872,200989,2,0,0,0,0,0,312,40,34.46463498,4.308079372,0,363,36.3,114.7906791,13176.9,1,0,40.33333333,45.375,0,8,363,1,0,-1,29200,1,0,0,0,0,0,0,0,0,0,DoS Hulk
10.200.7.217,54175,190.60.67.98,80,0,0,0,0,0,0,0,0,0,2,243131,210,0,210,210,210,210,0,210,210,0,0,0,0,0,64,0,9523.809524,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,242,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.19.1.57,50184,10.200.7.7,3128,234,40,40,40,0,117,117,117,0,134486,175337,39088,67697.20581,117258,3,3,3,0,3,3,3,3,0,3,3,64,64,17.05553281,17.05553281,40,117,70.8,42.17463693,1778.7,0,1,88.5,40,117,2,80,2,234,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
